ad_duration,cost,impressions,budget,publisher,country,market,creative_type
55,18.47,4385,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,21.89,4691,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,15.77,3328,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,21.51,4823,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,14.02,3184,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,18.18,4493,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,5.19,1286,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,8.19,2214,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,29.98,6903,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,20.25,5631,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,25.48,5091,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,13.98,3237,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,9.03,2924,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,5.92,1332,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,7.41,1638,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,45.97,10262,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,84.7,26894,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,71.05,26447,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,123.16,35126,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,70.99,22135,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,83.9,27834,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,108.06,35738,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,148.83,38189,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,21.1,6267,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,44.7,13161,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,57.15,16544,33.6145197740113,Facebook / Instagram,CA,BC,Video
55,58.3,19174,33.6145197740113,Facebook / Instagram,CA,BC,Video
